name,address,score,reviews count,province,category,price,discount,services,description images,latitude,longitude
Ruby Mini Hotel - Hue,"Lô D67 Đường 5H, KĐT Mỹ Thượng, Huế, Thừa Thiên Huế 49000, Việt Nam","5,0",13,Thừa Thiên Huế,Khách sạn,188.822 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNCX_wibs6W2OwkrTVaisu2Tdwv_4MhvWXFtIT1, https://lh5.googleusercontent.com/p/AF1QipN5Lwzqbmff_Mjytmdq0P1ohidkyU1nobr2GFuV, https://lh5.googleusercontent.com/p/AF1QipN6wpNDRj1UloLtZXsPiOPXh3szAQuLuJDhDGxI, https://lh5.googleusercontent.com/p/AF1QipPfOfaZ6zu0qjy0CboHzCcnj5-PkaM7VGLn4f2n, ",16.49465,107.61765
Phương Đông Huế Homestay,"148 Phạm Văn Đồng, Vỹ Dạ, Huế, Thừa Thiên Huế 550000, Việt Nam","4,0",3,Thừa Thiên Huế,Khách sạn,291.203 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNaIZ2rOAZPm7USitlnxq8WJx1Qb9wSlp65OuDT, https://lh5.googleusercontent.com/p/AF1QipNaIZ2rOAZPm7USitlnxq8WJx1Qb9wSlp65OuDT, https://lh5.googleusercontent.com/p/AF1QipNaIZ2rOAZPm7USitlnxq8WJx1Qb9wSlp65OuDT, ",16.48624,107.60237
Khách sạn TTC Imperial Huế,"8 Hùng Vương, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,6",1.738,Thừa Thiên Huế,Khách sạn 5 sao,1.104.444 ₫,Ít hơn 19% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipOCzKJTUIGQ6fZ3rIBNRsYSrZdRSTI074bRKjUt, https://lh5.googleusercontent.com/p/AF1QipNgJ2Eo4cpwvrygCkL9oGAceTAbIKsJyrQMBsSX, https://lh5.googleusercontent.com/p/AF1QipM1AH8C2aGGhl_M_Q-K9LP2L7u0T1IksYt1Rb2w, https://lh5.googleusercontent.com/p/AF1QipONtgsPHb861Ik4T5ZSCtbnufUBd9qHHRXOo_QZ, ",16.46576,107.59148
"NHÀ NGHỈ TUỲ ANH - CÓ GHẾ TÌNH YÊU, MÁY CHIẾU","4 kiệt 29 Lê Hồng Phong, Phú Nhuận, Huế, Thừa Thiên Huế 530000, Việt Nam","4,5",16,Thừa Thiên Huế,Khách sạn,249.000 ₫,Ít hơn 40% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Spa, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipOOCTxaR1AEUcydLLhjPCHGwoqgg_szqm_CxfEe, https://lh5.googleusercontent.com/p/AF1QipN2JhPvq7yiyBFb0yGzcn0nAZVry9rzSH6nMqf-, https://lh5.googleusercontent.com/p/AF1QipOii7ljLYtZwE1UsulsU_Ee1dEUE36k_OD_2Ykv, https://lh5.googleusercontent.com/p/AF1QipM15a3MHUb7wo0ac1-uHf6DxiAMgPQhPh5HTxMv, ",16.45988,107.59694
TÒ VÒ Hostel 2 - Huế,"Lane 33 Nguyễn Công Trứ, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam","4,7",88,Thừa Thiên Huế,Khách sạn,356.400 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe mất phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNsXwSgOJNB9QMOjd5qxkmn6OQ92jt6vZrE-qoq, https://lh5.googleusercontent.com/p/AF1QipPa9KkkPc0xdVZy6l62x_swOwsC6Em-v2dywd9v, https://lh5.googleusercontent.com/p/AF1QipN-W9Z7VAeavIsT85mqfvEbP_TUrlzINAKrHaiz, https://lh5.googleusercontent.com/p/AF1QipPOlWO74yxd6hpZNaB3HaGamuYzSM1leDzorFIX, ",16.47187,107.59701
Sunny A Hotel,"34 Nguyễn Tri Phương, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,5",339,Thừa Thiên Huế,Khách sạn 2 sao,229.275 ₫,Không có giảm giá,"Wi-Fi miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipOb-uk8WWd9t54RB33bhf_9FCgmZrxwjt9HpLzt, https://lh5.googleusercontent.com/p/AF1QipOtIQqXFH1MqQljPUFpG4YrNtitpNT8mbkDkJek, https://lh5.googleusercontent.com/p/AF1QipPFveCWz4y8OfEMaRQCd0BN-cR-uFD9szYcLqQ, https://lh5.googleusercontent.com/p/AF1QipOE1BrZ5eoh-2Fy_zsn-zqwFJD0NHS8fK23rL8K, ",16.46441,107.59294
Millennium Hue Hotel,"86 Lê Lợi, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam","4,6",63,Thừa Thiên Huế,Khách sạn,549.212 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipM03jFwWX0cJM1TZgTJeplQsEXtR4q_OCjtTbMk, https://lh5.googleusercontent.com/p/AF1QipOzIotAMZnQTQtRoYf1DFk-LyC_I6sM0H8iGYo4, https://lh5.googleusercontent.com/p/AF1QipOEXA8LNU3kzx2-OinrfLOGEYTWfSRgvWF_IcHF, https://lh5.googleusercontent.com/p/AF1QipMX37tK0mN7yeivqPAZ6dTuSMCFXmoJ2Gdv7APF, ",16.47078,107.59479
Hue Golden Inn Hotel,"17 Hai Bà Trưng, Vĩnh Ninh, Huế, Thừa Thiên Huế 531105, Việt Nam","4,4",18,Thừa Thiên Huế,Khách sạn,500.088 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipMuMHnhkenEooEdz2wap7819P1RofuPSQh9aqCX, https://lh5.googleusercontent.com/p/AF1QipNXwjenTk7D-BwZ-cP23fnCUZm5PV_VRyveb7km, https://lh5.googleusercontent.com/p/AF1QipOAFaLKVx6x_hm4Pf0unghKiWsTv6_-9e1kvWay, https://lh5.googleusercontent.com/p/AF1QipOAFaLKVx6x_hm4Pf0unghKiWsTv6_-9e1kvWay, ",16.46158,107.58957
LaLa Penthouse Hue,"khu đô thị The Manor Crown, 62 Tố Hữu, Xuân Phú, Huế, Thừa Thiên Huế 530000, Việt Nam","3,8",5,Thừa Thiên Huế,Khách sạn,395.100 ₫,Ít hơn 31% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipO3R89cdu0vPoRKcjJ3abOuUOqleIf4Jmyhj80R, https://lh5.googleusercontent.com/p/AF1QipMTk0GpMe-3tVJ29xoQ2NbKjQXC768O3g_pSNEE, https://lh5.googleusercontent.com/p/AF1QipPM4KxVpbtzXgO5rfXbIqoUTTB5vzxT2Xmpwa3n, https://lh5.googleusercontent.com/p/AF1QipO3R89cdu0vPoRKcjJ3abOuUOqleIf4Jmyhj80R, ",16.46359,107.60781
KLY APARTMENT & HOTEL HUE,"36 Nguyễn Tri Phương, P, Huế, Thừa Thiên Huế 49000, Việt Nam","4,2",54,Thừa Thiên Huế,Khách sạn,393.140 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNFpCSKTbSg_mWeunvuuMUa7lNQIEX3vpTebHYK, https://lh5.googleusercontent.com/p/AF1QipPvxOWY2aV9hPoQIaEl5190fi6ZRQ93lNycdgWx, https://lh5.googleusercontent.com/p/AF1QipOhHa-bHq958wyZTkiEg5yNGVvOJktzUlqHqbzj, https://lh5.googleusercontent.com/p/AF1QipMTk_LewJeJ0hEH1eI18kiWwC73gjG7ieNQxbz3, ",16.46473,107.59284
La Vela Hue Hotel,"17 Đường Số 22 Khu Đô Thị Mới Đông Nam Thủy An, Hương Thủy, Thừa Thiên Huế 530000, Việt Nam","4,7",514,Thừa Thiên Huế,Khách sạn,830.698 ₫,Ít hơn 16% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Dịch vụ giặt ủi, Nhà hàng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipPIBWxpAd6lXPL_1B08hxwmWIqHmxlz6LbA561k, https://lh5.googleusercontent.com/p/AF1QipM2k2YS3vnPoxlDBm1C5OMOuMQrpfA5r7Q3LTLQ, https://lh5.googleusercontent.com/p/AF1QipO3xhY6Nkd-BgpxO14OmG5pBzP7wULL9pdioj6I, https://lh5.googleusercontent.com/p/AF1QipN3MEuXgiMShmCiaKMHiUe_2KMc6uNfk8cH8iFV, ",16.44833,107.61761
Hachi Homestay & Spa,"16/18 Thân Văn Nhiếp, Thủy Biều, Huế, Thừa Thiên Huế 52000, Việt Nam","3,8",82,Thừa Thiên Huế,Khách sạn,475.000 ₫,Ít hơn 47% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Chấp nhận vật nuôi, Dịch vụ phòng, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipNRFGm29PPaaCQ6dOfF5Wz-FXLT0PmNVtzrbWD-, https://lh5.googleusercontent.com/p/AF1QipO3gV_t70lr0K_LTqo9GNnMKpUV7-90EmCUqc0x, https://lh5.googleusercontent.com/p/AF1QipNLVZ5begIzWFnOdW-AeAfJGGLr2dgadwP10cHP, https://lh5.googleusercontent.com/p/AF1QipOnIAi5PCrJVIFy15vAngWovC9OrMAsflLdJvfy, ",16.44586,107.53592
"Golden Guesthouse khách sạn nhà nghỉ đường Chu Văn An,Thành phố Huế","17 Chu Văn An, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","5,0",9,Thừa Thiên Huế,Khách sạn,335.000 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipOA7-UvJDdUae-xhwedo7yCTZ3ZbdWMeBOQmJRJ, https://lh5.googleusercontent.com/p/AF1QipNTQqnDvvPin2x48k8n5ZXeGIe4Mv6UWLLkaX7d, https://lh5.googleusercontent.com/p/AF1QipN_zexvSNF8MQCmnMErSLsVKFvg3W93dKTMut28, https://lh5.googleusercontent.com/p/AF1QipNI1Nljf4ELCwQH4Fxc-mVbDTYm3ojNwlRDMSsH, ",16.47012,107.59523
Nineties homestay,"Võ Thị Sáu, Phú Hội, 26 01, Thừa Thiên Huế 530000, Việt Nam","4,9",20,Thừa Thiên Huế,Khách sạn,85.443 ₫,Ít hơn 68% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipOJ9hrWLHvaa2up_KG36ENa73D4BoE21mJDhw5g, https://lh5.googleusercontent.com/p/AF1QipOqqvKCRlgdNLTsQvj_y51V-0nzbI8V-xAHtTe9, https://lh5.googleusercontent.com/p/AF1QipMWqOHQgCXMxYi6GMVkKggSemI-HBdI09o-JmsO, https://lh5.googleusercontent.com/p/AF1QipMMvUrBmkb6s0AHKeX4jv2DY3nhf0jB6oersTyV, ",16.47032,107.59650
Lá Homestay,"14 Võ Văn Kiệt, Thủy Xuân, ward, Thừa Thiên Huế 530000, Việt Nam","5,0",4,Thừa Thiên Huế,Khách sạn,332.695 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipMM4XDxsPTBxNoLG2F2c_zHI59pytzLrKtxgSp_, https://lh5.googleusercontent.com/p/AF1QipOCbSCwPPWMNPXDqLqIu_R1Pqkinib09gRTDKTk, https://lh5.googleusercontent.com/p/AF1QipOMKwSbVnVfjiQ7tFeJ7c1hcUWhwbruL1klxWx0, https://lh5.googleusercontent.com/p/AF1QipMmRxHBPiMLUr4BZyqDJs7WFVzieN75II16oIL3, ",16.42859,107.58684
Khách sạn Đường Sắt Huế,"131 Đường Thạch Hãn, Thuận Hoà, Huế, Thừa Thiên Huế, Việt Nam","3,5",105,Thừa Thiên Huế,Khách sạn 1 sao,370.139 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipMQd1WQElSUBgYQNbdZU-4yvPgWuf4CKOew--Tx, https://lh5.googleusercontent.com/p/AF1QipM1wT95WeStsK5elPuK2g2GvMhFq36KJFk33mUO, https://lh5.googleusercontent.com/p/AF1QipMgI_mJIBwIRe1EDBqainWJUFrgQpBxV9GrfG4W, https://lh5.googleusercontent.com/p/AF1QipMyIYtDbZqt2t2VyVDCJr5Pq-UK4Zrjfhdyzs-9, ",16.47304,107.57394
Khách sạn Nhật Lệ,"6/34 Nguyễn Tri Phương, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","3,8",215,Thừa Thiên Huế,Khách sạn 2 sao,225.170 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Phù hợp với trẻ em, Nhà hàng, Bếp trong tất cả các phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipMbdTHtsekkIogGg7SRv-6G1q4xkJhKSEuQPeUT, https://lh5.googleusercontent.com/p/AF1QipOwiOF2AA8WP_7M9QkGZzkmowhT6ZbN-D8jGEji, https://lh5.googleusercontent.com/p/AF1QipOC2A0zBo8D9Ji5l-xcEr0KurfxnHschSMcB_ow, https://lh5.googleusercontent.com/p/AF1QipPETM3QqdcL5ev90WPzehFz9TS9a9Pinsgn0v6H, ",16.46454,107.59278
Canary Homestay,"4/20 Ngô Gia Tự, Vĩnh Ninh, Huế, Thừa Thiên Huế 49000, Việt Nam","5,0",65,Thừa Thiên Huế,Khách sạn,184.626 ₫,Ít hơn 62% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipPoXOzw33l15nczf5PszmKHsYrw1uXUilSQ5yBp, https://lh5.googleusercontent.com/p/AF1QipMwsjvGZlmnVMG-qS19TbR7oXRw9yD8s9NAbeS7, https://lh5.googleusercontent.com/p/AF1QipPfSqiA10o3yMWismIHB42rsfkTngRaFzmk1e1y, https://lh5.googleusercontent.com/p/AF1QipM0ta4nWCVkBqZddbWDIMGE879qAlz2NBrQyVm6, ",16.46007,107.58998
The Times hotel,"29 Kiệt 42 Nguyễn Công Trứ, tổ 15, Huế, Thừa Thiên Huế, Việt Nam","4,3",181,Thừa Thiên Huế,Khách sạn 2 sao,304.593 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipN4IvmObFOM1IF25POE3hYpp5wicwyfi_O4ZR0F, https://lh5.googleusercontent.com/p/AF1QipNW1bKoETHi_6B1dbPBTf7la_z1-PEU9DhMCM8, https://lh5.googleusercontent.com/p/AF1QipMZe0qq9wqcUEUDjJeqrlZA7hk6ZNOMdVt3y1ux, https://lh5.googleusercontent.com/p/AF1QipOtOWsFk2CpOT08EDiJh9pE0-zVMHU1RqcsIs0C, ",16.47005,107.59711
Trạng Nguyên Huế Hotel,"26 Phạm Ngũ Lão, Phú Hội, Huế, Thừa Thiên Huế 531310, Việt Nam","4,4",16,Thừa Thiên Huế,Khách sạn,491.400 ₫,Ít hơn 20% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipNkwUFuLv3s_pQHiUWuwMxuNuqnA1gfSDZYHjts, https://lh5.googleusercontent.com/p/AF1QipN-E0ud_uxAYv3rNxELaskbf_PGp41yVH8mOmXq, https://lh5.googleusercontent.com/p/AF1QipPvpWvWy3j2-gmvHjATd1-HD9twxP2_Kc3Wcvei, https://lh5.googleusercontent.com/p/AF1QipPoJZ7Q3oK4B84bYH2Y0k9CnsAcgH8L0S8ivflp, ",16.46925,107.59445
Casablanca Hotel,"44 Nguyễn Công Trứ, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam","3,8",124,Thừa Thiên Huế,Khách sạn 2 sao,276.782 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPp2c-b-7UXFG17V42ORmkmsqu_oWHPOjIqA9cl, https://lh5.googleusercontent.com/p/AF1QipPmyIWq_no47eR59zfQr6ZJjojWuJNvf5HBERA7, https://lh5.googleusercontent.com/p/AF1QipN09aTJo-IcBNXPX3534v783VlNXB2w8BTkaiXi, https://lh5.googleusercontent.com/p/AF1QipOt10kVGwgp-NgYV_IRO3xcgk9DNDmFqSeq7cJh, ",16.47109,107.59757
Dragon Hue Hotel,"19 Đội Cung, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,4",25,Thừa Thiên Huế,Khách sạn,471.392 ₫,Ít hơn 26% so với bình thường,"Wi-Fi miễn phí, Bữa sáng có tính phí, Bãi đỗ xe, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipOu4A-RZqLq2aZtV22CKlTZQjrxNLc2QkvC5hMG, https://lh5.googleusercontent.com/p/AF1QipMR4xgRwkwcKU2Zwe5-JsxCtL0_w6ZML22ojFDJ, https://lh5.googleusercontent.com/p/AF1QipPek4zYmH4hz2hJC9Amuw5-k1aioRCZqROt1zLk, https://lh5.googleusercontent.com/p/AF1QipMOT_onWy2oEjCCMltp14Wk-Ewyg4nrBlNdFEKP, ",16.46864,107.59391
Khách Sạn Mường Thanh Holiday Huế,"38 Lê Lợi, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam","4,3",1.502,Thừa Thiên Huế,Khách sạn 4 sao,1.033.137 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipPpR_Nvz7ZZnefLZOEfoQsApbGtp6pI7DRy9B4v, https://lh5.googleusercontent.com/p/AF1QipOLW8z1BQJoN7Edrba3s9y4cLVJexF0yzQhGS96, https://lh5.googleusercontent.com/p/AF1QipOU73GcM1uXd8nJ-PyCuTdAQ1csJns1DRTtGW1u, https://lh5.googleusercontent.com/p/AF1QipNQNokvF0WNZ9eKF2zC-qFcDm3hSzcfQtUp-s-U, ",16.46940,107.59345
LaLa Villa Hue,"City, 15 Đường Số 8, An Đông, Huế, Thừa Thiên Huế 530000, Việt Nam","5,0",6,Thừa Thiên Huế,Khách sạn,305.100 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNeB8mug0wTH1T-OCDnwMg9adkjJejAEgqTwQul, https://lh5.googleusercontent.com/p/AF1QipOi8-zMorpk1_-jgCHGoxghduPm7XFSoOjzirTr, https://lh5.googleusercontent.com/p/AF1QipN21Od0383AeKY4eG4nUQMEUy4xB4K7rTGXPded, https://lh5.googleusercontent.com/p/AF1QipP6Rl8lr_YKVKejGQhCSeyOzHgqKBwd7FvnNPfG, ",16.45717,107.61118
Khách sạn Saigon Morin,"30 Lê Lợi, Phú Hội, Huế, Thừa Thiên Huế 47000, Việt Nam","4,3",1.434,Thừa Thiên Huế,Khách sạn 4 sao,994.187 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipPs9DYeOM6PYPpM_QMxuBwZE9qd60x9QFTnlVUs, https://lh5.googleusercontent.com/p/AF1QipPzm71Ly6zX7zeFLwJnAZxxL3ykEju0qGhfkX6J, https://lh5.googleusercontent.com/p/AF1QipPsQiG3nBpyKLPb4Z8v-u-OTN9AepvvKyGVh3U8, https://lh5.googleusercontent.com/p/AF1QipN1-P4IqmEnjB-Gy6tAMAvXqFsFWT39qIK7WT13, ",16.46666,107.59018
Flora Hotel,"85 Võ Thị Sáu, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,2",71,Thừa Thiên Huế,Khách sạn 3 sao,275.770 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipMipXFUHIMGRbrIyHUShl8bTP-rqkAHNHDvTn8W, https://lh5.googleusercontent.com/p/AF1QipN2-t7mQrzBzvamJzReqWnK7L3INyNtjyID4auO, https://lh5.googleusercontent.com/p/AF1QipPnZfWiLgZ3gJobew0Wgi5GDAqZX-KF1gFdYo5G, https://lh5.googleusercontent.com/p/AF1QipNg1dFWdRA73fE1OT6b47tbw1BsnqpLZaLDyNuB, ",16.47126,107.59620
Opa Hotel,"63 Nguyễn Sinh Cung, Vỹ Dạ, Huế, Thừa Thiên Huế, Việt Nam","5,0",23,Thừa Thiên Huế,Khách sạn,333.900 ₫,Ít hơn 46% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Xe đưa đón ra sân bay, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMtW0VahY92bn3j0BWfSF_kgrGmD-0sU9Tg0I0a, https://lh5.googleusercontent.com/p/AF1QipNe5g2fHbiB4QvEf1yUJOBaDqMdOFe6Vm98cCL6, https://lh5.googleusercontent.com/p/AF1QipN9q4W0Vb7P60K47fM-N8AbeyBVYmdvK__DLuBi, https://lh5.googleusercontent.com/p/AF1QipM3nWwNCQ26xol9utgSjlSrTxv0zYK_9wPomFai, ",16.47665,107.59540
NAM GOLD HOTEL,"15 Phạm Ngũ Lão, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,5",310,Thừa Thiên Huế,Khách sạn 2 sao,452.870 ₫,Không có giảm giá,"Wi-Fi miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPGxUqstoDJR0ElFSpyNCixYWYEyGqLOcf10UOs, https://lh5.googleusercontent.com/p/AF1QipMsXisr4Whk9CDX53MdmJupBQSjAhRTiK2E9Lw0, https://lh5.googleusercontent.com/p/AF1QipNiv2QPRPcOlGqXj_8834hCWTOCjEiTb9jkqJGt, https://lh5.googleusercontent.com/p/AF1QipMylF9_Y9lhBFqDbM47ZETUkisDOApSybDUIGYn, ",16.46914,107.59476
Thien Phu Hotel,"39 Nguyễn Trường Tộ, Street, Vinh, Huế, Thừa Thiên Huế 540000, Việt Nam","3,7",163,Thừa Thiên Huế,Khách sạn 1 sao,300.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipO4VkJVgjkg8qWJoCB0SjG8eVUPTd3G_YSkqzUH, https://lh5.googleusercontent.com/p/AF1QipOYniGqLMuPgNrVlfXDDt1O7wmTPZCnmDLDsskm, https://lh5.googleusercontent.com/p/AF1QipO0JEBODEu0AxsoVdnH-YOf-bxn9FFUEmzrn_CR, https://lh5.googleusercontent.com/p/AF1QipMM67Q5jhnlZXwPFHUly6yuGk90ZL79geS2NOyd, ",16.45373,107.58766
"Panorama Homestay, Cafe & Beer","4 Đoàn Nhữ Hải, Thủy Xuân, Huế, Thừa Thiên Huế, Việt Nam","4,1",29,Thừa Thiên Huế,Khách sạn,351.764 ₫,Ít hơn 20% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipPSrGyad7QoXkhoUBMoPY3sQS8iv5rizYP3tprQ, https://lh5.googleusercontent.com/p/AF1QipMZ6lIk5f77KGm_ie2oaOOz1zV8SEKn3MRQi3hP, https://lh5.googleusercontent.com/p/AF1QipOVo1TjKgPoudcyCAMbdsWfmWyVxzl2zrhw9cf_, https://lh5.googleusercontent.com/p/AF1QipM2v3xfAdfXximUlqUWGpf8GrfGYdTsiPl6lm8R, ",16.43160,107.56363
Hue Four Seasons Hotel,"6 kiệt 7 Nguyễn Công Trứ tổ 13, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,7",462,Thừa Thiên Huế,Khách sạn 3 sao,342.815 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipNj5oWi57cOzR0y9sdg5UkNdwBRTffg9Mkcx4T-, https://lh5.googleusercontent.com/p/AF1QipO15soZJ8WgFTVmHi11GSaycJw3GHe5nmmXZUtt, https://lh5.googleusercontent.com/p/AF1QipMe64Qb_VdvQ7Uuaru_uLQ9pqVh5LHKYKt8iPm4, https://lh5.googleusercontent.com/p/AF1QipOu3f-Kam_53nPQW9HbthBTXWZ7vktJYKVkrLPN, ",16.47224,107.59643
Huế Eco Homestay,"Xóm 1 Ngọc Anh, phường, Phú Vang, Thừa Thiên Huế 530000, Việt Nam","4,8",80,Thừa Thiên Huế,Khách sạn,300.311 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Chấp nhận vật nuôi, Phù hợp với trẻ em, Bếp ở một số phòng, Xe đưa đón ra sân bay, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipPl_OBuWW1Nw3nEfHieH4kWlmnnxcu0ZFdp81MN, https://lh5.googleusercontent.com/p/AF1QipM77IeoYQs7fVL0HC0gfv9bTgmGO5Ko456k9dLP, https://lh5.googleusercontent.com/p/AF1QipOBcAUsZ-mJSB8W5ZgkBlpYn8ea7vV6jzsn6l0t, https://lh5.googleusercontent.com/p/AF1QipPgZwNUyeROPd59hs5hwvtAVOtUXIsgp0dVe6qs, ",16.48710,107.60305
